paper_id,title,domain,year,primary_field,display_community,is_landmark,reference_count,n_future_citers,community_reach,field_entropy,cross_community_adoption,path_shortening,modularity_shock,partition_change,boundary_mixing,post_perturbation_concentration,hub_formation
https://openalex.org/W2015682877,Critical Behavior of Magnets with Lattice Coupling,theoretical_and_computational_physics,1973,Condensed Matter Physics,33504428,0,5,4,2.0,-1.000088900581841e-12,0.5,0.0,0.0,0.37519620693013067,0.13392857142857145,0.5,1.0
https://openalex.org/W2028779513,Critical Behavior of Anisotropic Cubic Systems,theoretical_and_computational_physics,1973,Condensed Matter Physics,21033133,0,6,14,6.0,0.8953326659640909,0.35714285714285715,0.0,0.014818440726237163,0.20679889044557043,0.3113207547169811,0.43877551020408173,1.0
https://openalex.org/W2029942592,Dipolar Interactions at Ferromagnetic Critical Points,theoretical_and_computational_physics,1973,Condensed Matter Physics,33504428,0,6,10,4.0,0.6390318596471769,0.8,0.0,0.0,0.23645279766002805,0.4457831325301205,0.42000000000000004,1.0
https://openalex.org/W2041918976,Logarithmic Corrections to the Molecular-Field Behavior of Critical and Tricritical Systems,theoretical_and_computational_physics,1973,Biomedical Engineering,15025980,0,7,16,4.0,0.46341355882342994,1.0,0.0,0.0008273484630853846,0.1990067243004705,0.2830508474576271,0.5859375,1.0
https://openalex.org/W2047952398,Critical Behavior of Magnets with Dipolar Interactions. I. Renormalization Group near Four Dimensions,theoretical_and_computational_physics,1973,"Electronic, Optical and Magnetic Materials",46115382,0,9,11,5.0,0.8855741515726718,1.0,0.0,0.026093661228796375,0.34833583088395825,0.5405405405405406,0.305785123966942,1.0
https://openalex.org/W2050189422,Effect of Antisymmetric Interactions on Critical Phenomena: A System with Helical Ground State,theoretical_and_computational_physics,1973,Condensed Matter Physics,21033133,0,5,2,2.0,-1.000088900581841e-12,0.5,0.0,0.016528925619834683,0.3112781244591328,0.18181818181818182,0.5,1.0
https://openalex.org/W2069509099,Critical Behavior of a Classical Heisenberg Ferromagnet with Many Degrees of Freedom,theoretical_and_computational_physics,1973,Condensed Matter Physics,21033133,0,6,11,3.0,0.3046360973472382,0.18181818181818182,0.0,0.013910034602076238,0.09747776910199238,0.18823529411764706,0.6859504132231405,1.0
https://openalex.org/W2091993343,Introduction to the Renormalization Group,theoretical_and_computational_physics,1973,Condensed Matter Physics,21033133,0,10,20,7.0,0.799902779423117,0.3,0.0,0.0,0.20904047336920192,0.18625000000000003,0.5049999999999999,1.0
https://openalex.org/W2329793106,"Critical Behavior of Magnets with Dipolar Interactions. V. Uniaxial Magnets in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>d</mml:mi></mml:math>Dimensions",theoretical_and_computational_physics,1973,Condensed Matter Physics,21033133,0,5,5,3.0,0.5004024235361879,0.6,0.0,0.004591368227731771,0.39581560200335836,0.3939393939393939,0.3600000000000001,1.0
https://openalex.org/W1588714876,Informational bases of alternative welfare approaches,economic_theory_and_institutions,1974,Economics and Econometrics,72170456,0,5,11,5.0,0.9347698978552794,0.9090909090909091,1.3333333333333333,0.0,0.38176302284847563,-0.19999999999999996,0.305785123966942,1.0
https://openalex.org/W1989424333,Experimental verification of scaling and test of the universality hypothesis from specific-heat data,theoretical_and_computational_physics,1974,Condensed Matter Physics,21033133,0,6,1,1.0,-1.000088900581841e-12,1.0,0.0,0.0,1.0,0.13478260869565217,1.0,1.0
https://openalex.org/W1996673821,On the critical behaviour of anisotropic systems,theoretical_and_computational_physics,1974,Geometry and Topology,51655702,0,6,4,2.0,0.5623351446168083,1.0,0.0,0.0,0.20991596693442952,0.20745920745920743,0.625,1.0
https://openalex.org/W1998561593,The renormalization group in the theory of critical behavior,theoretical_and_computational_physics,1974,Condensed Matter Physics,33504428,0,20,35,6.0,0.606869303940062,1.0,0.0,0.0,0.16531749416796168,-0.059953032186766175,0.6930612244897961,1.0
https://openalex.org/W2010187315,On the calculation of critical exponents by renormalisation group techniques,theoretical_and_computational_physics,1974,Nuclear and High Energy Physics,87623018,0,9,5,3.0,0.9502705392302345,1.0,0.0,0.0,0.2759012288137487,0.15502645502645507,0.44000000000000006,1.0
https://openalex.org/W2023405651,"Critical exponents of ferromagnets with dipolar interactions: Second-order<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>ε</mml:mi></mml:math>expansion",theoretical_and_computational_physics,1974,Condensed Matter Physics,33504428,0,13,7,5.0,1.1537419426970903,1.0,0.0,0.0,0.4365297050609361,0.10521739130434776,0.26530612244897955,1.0
https://openalex.org/W2037383013,Magnetic phase transitions on elastic isotropic lattices,theoretical_and_computational_physics,1974,Condensed Matter Physics,21033133,0,5,2,2.0,-1.000088900581841e-12,0.5,0.0,0.0,0.0731040079318099,0.0,0.5,1.0
https://openalex.org/W2050661346,Crossover scaling functions for exchange anisotropy,theoretical_and_computational_physics,1974,Condensed Matter Physics,21033133,0,9,9,4.0,0.8486855577234171,0.3333333333333333,0.0,0.0,0.23371144975113786,0.028508771929824595,0.48148148148148145,1.0
https://openalex.org/W2052047034,"Discussion of critical phenomena for general<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>n</mml:mi></mml:math>-vector models",theoretical_and_computational_physics,1974,Condensed Matter Physics,21033133,0,6,5,3.0,0.5004024235361879,0.4,0.0,0.008875739644970446,0.23645279766002797,0.15384615384615385,0.44000000000000006,1.0
https://openalex.org/W2056999179,The critical point and scaling theory,theoretical_and_computational_physics,1974,Condensed Matter Physics,21033133,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
https://openalex.org/W2059776475,Critical phenomena in 3.99 dimensions,theoretical_and_computational_physics,1974,Condensed Matter Physics,21033133,0,7,1,1.0,-1.000088900581841e-12,0.0,0.0,0.0,0.16011249429901178,-0.10714285714285715,1.0,1.0
